,stop_name,stop_id,latitude,longitude,SEQ,GRUPO,SENTIDO,TIPO,ITINERARY_ID,line_id
13293,"Rua Castro Alves, 748 - Batel",180533,"-25,452491691123","-49,289798022455",9,,São Jorge,Novo mobiliário,906,670
13294,"Rua Engenheiro Heitor Soares Gomes, 284 - Portão",180692,"-25,472233229593","-49,302334667391",20,,São Jorge,Sem demarcação,906,670
13295,"R. Padre Leonardo Nunes, 180 - Portão",180105,"-25,468688128134","-49,299502254671",18,,São Jorge,Novo mobiliário,906,670
13296,"Rua Bororós, 923 - Vila Izabel",180468,"-25,462515430991","-49,294384599871",14,,São Jorge,Chapéu chinês,906,670
13297,"Rua Alferes Poli, 400 - Rebouças",110026,"-25,440705808683","-49,271456482887",29,,Praça Rui Barbosa,Novo mobiliário,907,670
13298,"Rua Guilherme Pugsley, 1056 - Água Verde",150867,"-25,455611030885","-49,285462231583",21,,Praça Rui Barbosa,Novo mobiliário,907,670
13299,"Rua Alberto Klemtz, 120 - Portão",180699,"-25,475061486968","-49,305063815063",10,,Praça Rui Barbosa,Domus,907,670
13300,"Rua Capitão Tenente Máris de Barros, 65 - Portão",180833,"-25,468964184867","-49,298134328074",14,,Praça Rui Barbosa,Chapéu chinês,907,670
13301,"Rua Vital Brasil, 185 - Portão",180836,"-25,464010807444","-49,292777956671",17,,Praça Rui Barbosa,Chapéu chinês,907,670
13302,"Av. Pres. Getúlio Vargas, 1957 - Rebouças",150637,"-25,447492829042","-49,278394610828",25,,Praça Rui Barbosa,Novo mobiliário,907,670
13303,Praça Rui Barbosa - 670 - São Jorge,102033,"-25,436437152371","-49,274620921426",1,,São Jorge,Novo mobiliário,906,670
13304,"Rua Alferes Poli, 787 - Rebouças",110024,"-25,443478176732","-49,270140950921",28,,Praça Rui Barbosa,Novo mobiliário,907,670
13305,"Av. Pres. Getúlio Vargas, 1708 - Rebouças",110210,"-25,446516767314","-49,27578884477",26,,Praça Rui Barbosa,Novo mobiliário,907,670
13306,"Rua Angelina Ançai, 2 - Fazendinha",180832,"-25,478803740704","-49,320808381981",1,,Praça Rui Barbosa,Domus,907,670
13307,"Rua Edvino Antônio Deboni, 15 - Fazendinha",180831,"-25,478475647412","-49,319354624695",2,,Praça Rui Barbosa,Chapéu chinês,907,670
13308,"Rua Engenheiro Heitor Soares Gomes, 79 - Portão",180691,"-25,471701713184","-49,300442368931",13,,Praça Rui Barbosa,Chapéu chinês,907,670
13309,"Rua Desembargador Lauro Sodré Lopes, 487 - Portão",180689,"-25,477344868838","-49,311455519146",26,,São Jorge,Sem demarcação,906,670
13310,"Rua Tamoios, 1495 - Vila Izabel",180634,"-25,46735021262","-49,298107505983",17,,São Jorge,Novo mobiliário,906,670
13311,"Rua Bororós, 193 - Vila Izabel",180465,"-25,456020317137","-49,293000580019",11,,São Jorge,Chapéu chinês,906,670
13312,"Av. Água Verde, 2148 - Água Verde",180536,"-25,453944809765","-49,292434633917",10,,São Jorge,Chapéu chinês,906,670
13313,Praça Rui Barbosa - 670 - São Jorge,102033,"-25,436437152371","-49,274620921426",30,,Praça Rui Barbosa,Novo mobiliário,907,670
13314,"Rua Guilherme Pugsley, 1431 - Água Verde",150866,"-25,459678402567","-49,287424267477",20,,Praça Rui Barbosa,Novo mobiliário,907,670
13315,"Rua Desembargador Lauro Sodré Lopes, 486 - Portão",180697,"-25,477300073323","-49,31129592771",6,,Praça Rui Barbosa,Domus,907,670
13316,"Av. Iguaçu, 1788 - Água Verde",150631,"-25,445710238874","-49,278719158119",5,,São Jorge,Novo mobiliário,906,670
13317,"Rua Bororós, 715 - Vila Izabel",180467,"-25,460567175815","-49,293979586309",13,,São Jorge,Chapéu chinês,906,670
13318,"Rua Guilherme Pugsley, 1660 - Água Verde",150865,"-25,461308218791","-49,288212836927",19,,Praça Rui Barbosa,Novo mobiliário,907,670
13319,"Rua Professor Elevir Dionysio, 415 - Fazendinha",180829,"-25,478887277229","-49,317271889395",3,,Praça Rui Barbosa,Chapéu chinês,907,670
13320,"Rua Desembargador Lauro Sodré Lopes, 201 - Portão",180710,"-25,474877458546","-49,310665608591",7,,Praça Rui Barbosa,Domus,907,670
13321,"Rua Edvino Antônio Deboni, 20 - Fazendinha",180830,"-25,478492596903","-49,319455207533",30,,São Jorge,Sem demarcação,906,670
13322,"Rua Desembargador Lauro Sodré Lopes, 230 - Portão",180707,"-25,47493072996","-49,310809106773",25,,São Jorge,Placa em cano,906,670
13323,"Rua Alberto Klemtz, 105 - Portão",180698,"-25,474967051366","-49,305024923033",22,,São Jorge,Sem demarcação,906,670
13324,"Rua Prof. Fábio de Souza, 2311 - Santa Quitéria",180695,"-25,473259933453","-49,304080114908",11,,Praça Rui Barbosa,Chapéu chinês,907,670
13325,"Rua Desembargador Lauro Sodré Lopes, 36 - Portão",180713,"-25,473278053171","-49,310408116525",24,,São Jorge,Chapéu chinês,906,670
13326,"Rua Engenheiro Heitor Soares Gomes, oposto ao 523 - Portão",180690,"-25,471620593161","-49,300516129679",19,,São Jorge,Placa em cano,906,670
