,COD,REFRESH,LAT,LON,CODIGOLINHA,ADAPT,TIPO_VEIC,TABELA,SITUACAO,SITUACAO2,SENT,TCOUNT
HI024,HI024,17:17,-25.553868,-49.275971,708,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
CB603,CB603,17:17,-25.439935,-49.205821,030,1,4,3,NÃO CONFORMIDADE,REALIZANDO ROTA,VOLTA,1
BB697,BB697,17:17,-25.487178,-49.223436,030,1,4,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
CB604,CB604,17:17,-25.50169,-49.290821,030,1,4,4,ATRASADO,REALIZANDO ROTA,VOLTA,1
KB606,KB606,17:17,-25.4947,-49.234058,030,1,4,5,NO HORÁRIO,REALIZANDO ROTA,IDA,1
KB600,KB600,17:12,-25.391115,-49.211048,030,1,4,6,ATRASADO,REALIZANDO ROTA,VOLTA,1
KB608,KB608,17:15,-25.433386,-49.216971,030,1,4,1,NO HORÁRIO,FORA DA ROTA,IDA,1
BB609,BB609,17:17,-25.394195,-49.24199,REC,1,4,,,,,1
HC854,HC854,17:17,-25.446168,-49.27501,670,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI852,GI852,17:17,-25.43529,-49.274143,661,1,7,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GI851,GI851,17:17,-25.440016,-49.271803,662,1,7,1,ADIANTADO,REALIZANDO ROTA,IDA,1
HI614,HI614,17:15,-25.574665,-49.332396,650,1,4,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI617,HI617,17:15,-25.513575,-49.295353,650,1,4,3,ATRASADO,REALIZANDO ROTA,VOLTA,1
HI610,HI610,17:14,-25.554646,-49.307173,650,1,4,4,ADIANTADO,REALIZANDO ROTA,IDA,1
BI850,BI850,17:14,-25.428255,-49.272508,166,1,7,1,ADIANTADO,REALIZANDO ROTA,IDA,1
HI856,HI856,17:17,-25.517046,-49.295595,600,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
EI008,EI008,17:16,-25.532638,-49.29716,528,1,1,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI017,GI017,17:17,-25.527641,-49.292286,528,1,1,4,ATRASADO,REALIZANDO ROTA,VOLTA,1
GI011,GI011,17:16,-25.518311,-49.230835,528,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
GI004,GI004,17:15,-25.514688,-49.295631,637,1,1,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
EL323,EL323,17:13,-25.42253,-49.269765,505,1,3,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EL327,EL327,17:17,-25.49774,-49.2394,505,1,3,3,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EL322,EL322,17:17,-25.465881,-49.254915,505,1,3,2,ATRASADO,REALIZANDO ROTA,IDA,1
EL319,EL319,17:17,-25.419838,-49.26881,505,1,3,5,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BA001,BA001,17:11,-25.39064,-49.245271,226,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BA029,BA029,17:16,-25.42855,-49.271035,182,1,1,1,ADIANTADO,REALIZANDO ROTA,IDA,1
BC018,BC018,17:11,-25.368028,-49.271348,182,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI009,BI009,17:17,-25.399046,-49.21611,361,1,1,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
GI039,GI039,17:17,-25.506841,-49.28225,625,1,1,2,ATRASADO,REALIZANDO ROTA,IDA,1
GI043,GI043,17:17,-25.520561,-49.273935,625,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI850,GI850,17:16,-25.518691,-49.272098,665,1,7,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GC003,GC003,17:16,-25.43862,-49.27254,665,1,1,1,ATRASADO,TIPO INCOMPATIVEL,IDA,1
BI014,BI014,17:17,-25.41022,-49.220131,365,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI022,BI022,17:16,-25.449106,-49.30901,365,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HE617,HE617,17:17,-25.453535,-49.244443,350,0,4,6,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BE600,BE600,17:17,-25.512805,-49.294611,350,0,4,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EE601,EE601,17:17,-25.394243,-49.21039,350,0,4,3,ATRASADO,REALIZANDO ROTA,IDA,1
BE605,BE605,17:15,-25.47082,-49.255165,350,0,4,5,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI018,HI018,17:15,-25.520555,-49.295401,680,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI031,HI031,17:17,-25.585111,-49.328036,680,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EI009,EI009,17:16,-25.469756,-49.230886,468,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
EA004,EA004,17:17,-25.463448,-49.235773,468,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI015,GI015,17:08,-25.53826,-49.241716,536,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI879,BI879,17:16,-25.414483,-49.280511,821,1,7,2,NÃO CONFORMIDADE,NA GARAGEM,VOLTA,1
MI002,MI002,17:17,-25.416801,-49.358745,821,1,1,1,ADIANTADO,REALIZANDO ROTA,IDA,1
GI054,GI054,17:17,-25.492455,-49.22079,338,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI053,GI053,17:17,-25.474338,-49.231538,338,1,1,3,ADIANTADO,REALIZANDO ROTA,IDA,1
GI012,GI012,17:13,-25.472181,-49.200075,338,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI019,HI019,17:17,-25.536713,-49.301263,681,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
BI857,BI857,17:17,-25.437361,-49.21932,311,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI900,BI900,17:11,-25.431128,-49.25045,386,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
CL310,CL310,17:17,-25.429958,-49.214348,307,0,3,7,ATRASADO,FORA DA ROTA,IDA,1
BL352,BL352,17:17,-25.428321,-49.28474,307,0,3,5,ATRASADO,REALIZANDO ROTA,IDA,1
BL349,BL349,17:14,-25.401353,-49.329385,307,0,3,8,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
CL307,CL307,17:17,-25.42864,-49.285186,307,0,3,3,ATRASADO,REALIZANDO ROTA,VOLTA,1
BL365,BL365,17:17,-25.42666,-49.21031,307,0,3,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI021,HI021,17:15,-25.564308,-49.334406,773,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
MI856,MI856,17:17,-25.386318,-49.335085,928,1,7,1,ATRASADO,REALIZANDO ROTA,IDA,1
MA949,MA949,17:16,-25.398813,-49.324661,965,1,7,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
JI855,JI855,17:17,-25.477328,-49.326895,711,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI856,BI856,17:17,-25.388576,-49.243638,280,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI007,GI007,17:17,-25.512735,-49.294796,641,1,1,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GA201,GA201,17:17,-25.548221,-49.291645,REC,1,1,,,,,1
GI002,GI002,17:17,-25.550291,-49.291356,REC,1,1,,,,,1
HI004,HI004,17:17,-25.621363,-49.36494,772,1,1,4,ATRASADO,REALIZANDO ROTA,IDA,1
HI003,HI003,17:17,-25.514931,-49.29569,772,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI850,JI850,17:12,-25.439656,-49.335863,814,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BA016,BA016,17:17,-25.41853,-49.33783,812,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI885,BI885,17:17,-25.41441,-49.261065,272,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI859,JI859,17:17,-25.450015,-49.284868,761,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
PC290,PC290,17:17,-25.482765,-49.238998,REC,1,1,,,,,1
PA283,PA283,17:14,-25.488011,-49.199853,336,1,1,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
MN608,MN608,17:16,-25.419713,-49.293901,REC,1,7,,,,,1
GI049,GI049,17:14,-25.486306,-49.213283,335,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI050,GI050,17:16,-25.514698,-49.229815,335,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI859,HI859,17:17,-25.429898,-49.272483,865,1,7,1,ADIANTADO,REALIZANDO ROTA,IDA,1
BI892,BI892,17:12,-25.39186,-49.260891,181,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI897,BI897,17:17,-25.437908,-49.361535,827,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI880,BI880,17:17,-25.438413,-49.29149,366,1,7,2,NÃO CONFORMIDADE,INDETERMINADA,VOLTA,1
BI901,BI901,17:17,-25.37185,-49.262031,242,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BC008,BC008,17:17,-25.426536,-49.285585,870,1,1,2,ADIANTADO,REALIZANDO ROTA,VOLTA,1
BC017,BC017,17:17,-25.418908,-49.35509,870,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
EI007,EI007,17:16,-25.468438,-49.24011,471,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI037,HI037,17:15,-25.498666,-49.353278,653,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI025,HI025,17:17,-25.511508,-49.324306,653,1,1,1,ADIANTADO,REALIZANDO ROTA,IDA,1
HI860,HI860,17:17,-25.47088,-49.295291,674,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HC851,HC851,17:17,-25.511865,-49.324563,644,1,7,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
HI013,HI013,17:17,-25.544231,-49.33737,630,1,1,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
HI002,HI002,17:17,-25.539186,-49.307755,REC,1,1,,,,,1
GI042,GI042,17:10,-25.54326,-49.300713,635,1,1,1,ATRASADO,TIPO INCOMPATIVEL,VOLTA,1
GI025,GI025,17:17,-25.531331,-49.267638,534,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI861,JI861,17:17,-25.45766,-49.305073,760,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI020,GI020,17:16,-25.535013,-49.289081,640,1,1,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GI856,GI856,17:17,-25.482456,-49.279208,616,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI602,BI602,17:17,-25.377386,-49.22413,238,1,4,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
BI603,BI603,17:17,-25.385945,-49.20286,238,1,4,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI023,HI023,17:10,-25.515708,-49.339588,709,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI853,GI853,17:12,-25.468156,-49.272366,666,1,7,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
BI893,BI893,17:15,-25.35254,-49.271213,243,1,7,1,NÃO CONFORMIDADE,INDETERMINADA,VOLTA,1
BA004,BA004,17:17,-25.394051,-49.203345,342,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BA035,BA035,17:17,-25.387643,-49.214233,342,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI002,BI002,17:15,-25.356995,-49.235041,232,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
MI852,MI852,17:14,-25.40744,-49.303775,967,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BC011,BC011,17:17,-25.389175,-49.283371,170,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BC024,BC024,17:17,-25.395725,-49.285725,170,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI866,BI866,17:17,-25.388233,-49.267475,184,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI869,BI869,17:15,-25.432643,-49.270993,260,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI019,BI019,17:16,-25.41135,-49.224563,371,1,1,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
BI018,BI018,17:17,-25.42811,-49.26358,371,1,1,2,ATRASADO,REALIZANDO ROTA,IDA,1
CL309,CL309,17:17,-25.430011,-49.214931,X45,0,3,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI865,BI865,17:17,-25.429248,-49.213933,375,1,7,1,ATRASADO,REALIZANDO ROTA,IDA,1
PI851,PI851,17:17,-25.482815,-49.239046,REC,1,7,,,,,1
EA001,EA001,17:17,-25.43605,-49.266851,472,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI860,BI860,17:17,-25.43409,-49.270393,175,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
PI006,PI006,17:17,-25.455961,-49.208383,322,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
PC943,PC943,17:16,-25.452236,-49.212958,321,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI011,JI011,17:17,-25.490678,-49.348206,721,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
HI050,HI050,17:14,-25.428135,-49.27103,863,0,21,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
HI026,HI026,17:14,-25.483746,-49.31403,615,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI048,GI048,17:17,-25.553911,-49.276695,638,1,1,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GI037,GI037,17:13,-25.544625,-49.299405,636,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BA032,BA032,17:03,-25.382543,-49.251373,225,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
HL342,HL342,17:17,-25.418963,-49.267595,700,1,3,1,ATRASADO,REALIZANDO ROTA,IDA,1
BL362,BL362,17:17,-25.496371,-49.29618,700,0,3,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI005,BI005,17:17,-25.396206,-49.231818,213,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EI003,EI003,17:17,-25.486793,-49.256181,512,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
EI006,EI006,17:16,-25.43633,-49.268053,474,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI047,GI047,17:11,-25.51747,-49.2307,535,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI041,GI041,17:06,-25.549466,-49.246926,535,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI855,GI855,17:17,-25.458821,-49.239053,465,1,7,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
HI005,HI005,17:14,-25.512975,-49.330893,619,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BA030,BA030,17:17,-25.3714,-49.210075,233,1,1,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
PI002,PI002,17:14,-25.46864,-49.194688,332,1,1,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
GI027,GI027,17:17,-25.516296,-49.287563,631,1,1,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
BI887,BI887,17:17,-25.390691,-49.240685,224,1,7,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
JI858,JI858,17:11,-25.482596,-49.345758,710,1,7,1,ATRASADO,PÂNICO,CIRCULAR,1
BA038,BA038,17:17,-25.450513,-49.354558,829,1,1,1,NO HORÁRIO,TIPO INCOMPATIVEL,CIRCULAR,1
EL332,EL332,17:16,-25.455646,-49.28826,507,1,3,3,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
EL331,EL331,17:17,-25.512205,-49.29442,507,1,3,4,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
EL329,EL329,17:14,-25.48871,-49.24383,507,1,3,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
EL335,EL335,17:17,-25.533285,-49.264101,507,0,3,5,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
EL334,EL334,17:17,-25.434375,-49.264633,507,0,3,2,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
GE717,GE717,17:11,-25.512111,-49.232371,502,0,5,3,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
GE709,GE709,17:17,-25.483193,-49.293215,502,0,5,2,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
GE723,GE723,17:13,-25.47653,-49.279936,502,0,5,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
HE700,HE700,17:15,-25.50126,-49.23759,502,0,5,4,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
GE712,GE712,17:17,-25.549261,-49.291566,REC,0,5,,,,,1
HE726,HE726,17:17,-25.526936,-49.237061,602,0,5,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
HE727,HE727,17:17,-25.486028,-49.29412,602,0,5,3,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
HE716,HE716,17:17,-25.472288,-49.251753,602,0,5,4,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
HE710,HE710,17:15,-25.517791,-49.295583,602,0,5,2,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
GB609,GB609,17:12,-25.492556,-49.293238,021,1,4,2,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
KB605,KB605,17:17,-25.439753,-49.22231,021,1,4,4,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
BB312,BB312,17:17,-25.408221,-49.250148,021,0,15,5,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
EB600,EB600,17:17,-25.48158,-49.246918,021,1,4,3,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
GI301,GI301,17:17,-25.442456,-49.307225,021,1,3,1,NO HORÁRIO,TIPO INCOMPATIVEL,CIRCULAR,1
BB621,BB621,17:12,-25.393595,-49.284095,021,1,4,6,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
GB499,GB499,17:16,-25.549796,-49.291018,REC,1,3,,,,,1
GB302,GB302,17:17,-25.550436,-49.291821,011,0,15,1,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
JB304,JB304,17:17,-25.43306,-49.294615,011,0,15,2-2,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
BI011,BI011,17:17,-25.39394,-49.241871,237,1,1,1,NÃO CONFORMIDADE,REALIZANDO ROTA,CIRCULAR,1
GL314,GL314,17:17,-25.548913,-49.290706,508,0,3,3,NÃO CONFORMIDADE,REALIZANDO ROTA,CIRCULAR,1
GL317,GL317,17:17,-25.444401,-49.274923,508,0,3,1,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
GL344,GL344,17:16,-25.44801,-49.257865,508,0,3,2,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
GL316,GL316,17:16,-25.503173,-49.295995,508,0,3,5,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
GL320,GL320,17:15,-25.534915,-49.270686,508,0,3,4,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
GL342,GL342,17:17,-25.503941,-49.236286,508,0,3,3,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
PL308,PL308,17:17,-25.418688,-49.269568,022,0,3,8,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
BL351,BL351,17:17,-25.439915,-49.22223,022,0,3,5,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
PL303,PL303,17:15,-25.491746,-49.293043,022,0,3,2,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
BL600,BL600,17:17,-25.42803,-49.234023,022,0,4,7,ATRASADO,TIPO INCOMPATIVEL,CIRCULAR,1
EL600,EL600,17:17,-25.431128,-49.29278,022,0,4,10,NO HORÁRIO,TIPO INCOMPATIVEL,CIRCULAR,1
GL600,GL600,17:17,-25.458855,-49.302375,022,0,4,1,NO HORÁRIO,TIPO INCOMPATIVEL,CIRCULAR,1
GL698,GL698,17:16,-25.484515,-49.250603,022,0,4,4,NO HORÁRIO,TIPO INCOMPATIVEL,CIRCULAR,1
BL341,BL341,17:14,-25.413923,-49.282445,023,0,3,1,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
BL364,BL364,17:15,-25.425855,-49.242353,023,0,3,3,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
GL601,GL601,17:17,-25.4397,-49.222088,023,0,4,5,NO HORÁRIO,TIPO INCOMPATIVEL,CIRCULAR,1
BL606,BL606,17:17,-25.442341,-49.307293,023,0,4,9,NO HORÁRIO,TIPO INCOMPATIVEL,CIRCULAR,1
GL695,GL695,17:17,-25.481458,-49.246815,023,0,4,6,ADIANTADO,TIPO INCOMPATIVEL,CIRCULAR,1
BL603,BL603,17:17,-25.407675,-49.254716,023,0,4,2,ADIANTADO,TIPO INCOMPATIVEL,CIRCULAR,1
HB303,HB303,17:17,-25.411018,-49.277783,010,0,15,2-2,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
MT013,MT013,17:17,-25.384493,-49.279711,979,0,3,5,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
MT010,MT010,17:16,-25.397165,-49.28778,979,0,3,6,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
BT004,BT004,17:14,-25.402335,-49.327421,979,0,3,2,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
MT009,MT009,17:17,-25.407341,-49.271511,979,0,3,7,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
MT012,MT012,17:17,-25.439558,-49.237841,979,0,3,9,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
MT008,MT008,17:16,-25.428868,-49.26936,979,1,3,8,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
BT003,BT003,17:17,-25.446678,-49.258286,979,1,3,10,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
BT009,BT009,17:16,-25.415328,-49.301373,979,0,3,3,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
BT005,BT005,17:17,-25.385543,-49.275803,979,0,3,4,ADIANTADO,REALIZANDO ROTA,CIRCULAR,1
BT007,BT007,17:16,-25.43208,-49.273813,979,0,3,11,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
BB303,BB303,17:16,-25.42458,-49.2906,979,1,10,12,ADIANTADO,TIPO INCOMPATIVEL,CIRCULAR,1
BC318,BC318,17:17,-25.428126,-49.271428,979,1,10,1,ATRASADO,TIPO INCOMPATIVEL,CIRCULAR,1
BT008,BT008,17:17,-25.414805,-49.280865,REC,0,3,,,,,1
EB608,EB608,17:17,-25.423336,-49.293835,020,1,4,3,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
BB612,BB612,17:17,-25.446823,-49.224251,020,1,4,2,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
BB615,BB615,17:17,-25.394365,-49.272783,020,1,4,5,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1
GB611,GB611,17:17,-25.446806,-49.224701,020,1,4,4,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
BB605,BB605,17:17,-25.402255,-49.252678,020,1,4,6,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
BB606,BB606,17:15,-25.479408,-49.297071,020,1,4,1,ATRASADO,REALIZANDO ROTA,CIRCULAR,1
09025,09025,17:16,-25.47255,-49.29442,REC,0,,,,,,1
BL608,BL608,17:17,-25.41479,-49.28084,REC,0,4,,,,,1
HI625,HI625,17:17,-25.53895,-49.307525,REC,1,4,,,,,1
JL340,JL340,17:17,-25.448761,-49.365821,REC,0,3,,,,,1
BI027,BI027,17:17,-25.415213,-49.281241,REC,1,1,,,,,1
00026,00026,17:17,-25.473271,-49.251493,REC,0,,,,,,1
JL329,JL329,17:17,-25.448765,-49.36537,REC,1,3,,,,,1
BI609,BI609,17:17,-25.395393,-49.242661,REC,1,4,,,,,1
MN405,MN405,17:17,-25.419736,-49.294343,REC,1,7,,,,,1
PI307,PI307,17:17,-25.482875,-49.239415,REC,1,3,,,,,1
HL336,HL336,17:17,-25.539685,-49.308638,REC,1,3,,,,,1
JA036,JA036,17:17,-25.449188,-49.365863,REC,1,1,,,,,1
BC002,BC002,17:17,-25.394673,-49.242315,REC,1,1,,,,,1
HI043,HI043,17:16,-25.539018,-49.307786,REC,1,1,,,,,1
HA008,HA008,17:15,-25.539473,-49.307793,REC,1,1,,,,,1
HA605,HA605,17:17,-25.538668,-49.307421,REC,1,4,,,,,1
BL363,BL363,17:17,-25.415765,-49.281156,REC,0,3,,,,,1
EL333,EL333,17:17,-25.467831,-49.255378,REC,1,3,,,,,1
BC004,BC004,17:17,-25.394121,-49.241815,REC,1,1,,,,,1
JC011,JC011,17:17,-25.449523,-49.366978,REC,1,1,,,,,1
00068,00068,17:17,-25.53258,-49.2618,REC,0,,,,,,1
JC317,JC317,17:17,-25.449361,-49.366548,REC,1,3,,,,,1
GI046,GI046,17:17,-25.549281,-49.289968,REC,1,1,,,,,1
01000,01000,17:17,-25.40131,-49.32976,REC,0,,,,,,1
00015,00015,17:17,-25.50624,-49.23518,REC,0,,,,,,1
05048,05048,17:17,-25.40999,-49.2559,REC,0,,,,,,1
07001,07001,17:17,-25.400444,-49.33105,REC,0,,,,,,1
JI852,JI852,17:17,-25.449111,-49.365373,REC,1,7,,,,,1
02028,02028,17:17,-25.43239,-49.26446,REC,0,,,,,,1
HI603,HI603,17:17,-25.538748,-49.30759,REC,0,4,,,,,1
HI030,HI030,17:17,-25.539773,-49.307708,REC,1,1,,,,,1
HC302,HC302,17:09,-25.539995,-49.307718,REC,1,10,,,,,1
00070,00070,17:16,-25.467731,-49.25552,REC,0,,,,,,1
PL309,PL309,17:17,-25.483091,-49.23867,REC,0,3,,,,,1
05045,05045,17:17,-25.415276,-49.260627,REC,0,,,,,,1
HI854,HI854,17:14,-25.540578,-49.308331,REC,1,7,,,,,1
HA024,HA024,17:17,-25.539011,-49.307818,REC,1,1,,,,,1
03030,03030,17:17,-25.46127,-49.28969,REC,0,,,,,,1
HE616,HE616,17:17,-25.537948,-49.306668,REC,0,4,,,,,1
JL603,JL603,17:17,-25.449033,-49.367186,REC,0,4,,,,,1
HL303,HL303,17:17,-25.537711,-49.30691,REC,0,3,,,,,1
EA024,EA024,17:17,-25.468375,-49.254698,REC,1,1,,,,,1
HD252,HD252,17:17,-25.538405,-49.307018,REC,0,5,,,,,1
03032,03032,17:17,-25.4569,-49.28852,REC,0,,,,,,1
03036,03036,17:17,-25.44826,-49.28802,REC,0,,,,,,1
HA023,HA023,17:17,-25.538756,-49.308015,REC,1,1,,,,,1
HL335,HL335,17:16,-25.537281,-49.306826,REC,1,3,,,,,1
HL321,HL321,17:17,-25.537486,-49.307073,REC,0,3,,,,,1
HI016,HI016,17:17,-25.539645,-49.307736,REC,1,1,,,,,1
JL601,JL601,17:17,-25.449288,-49.367296,REC,0,4,,,,,1
HA126,HA126,17:16,-25.538455,-49.307056,REC,1,1,,,,,1
BL312,BL312,17:10,-25.41547,-49.281376,REC,0,3,,,,,1
