,COD,REFRESH,LAT,LON,CODIGOLINHA,ADAPT,TIPO_VEIC,TABELA,SITUACAO,SITUACAO2,SENT,TCOUNT
MN603,MN603,17:12,-25.40116,-49.330073,958,1,7,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
MN607,MN607,17:17,-25.414408,-49.308555,972,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI883,BI883,17:17,-25.428303,-49.272296,171,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI006,JI006,17:15,-25.457286,-49.32534,778,1,1,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
HL349,HL349,17:17,-25.40675,-49.252158,210,0,3,3,ATRASADO,REALIZANDO ROTA,IDA,1
HL350,HL350,17:17,-25.433531,-49.277298,210,0,3,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HL348,HL348,17:16,-25.476311,-49.292626,210,0,3,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
HL344,HL344,17:14,-25.504663,-49.318203,210,1,3,4,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI948,JI948,17:17,-25.449048,-49.365556,REC,1,7,,,,,1
JI856,JI856,17:16,-25.438181,-49.27876,862,1,7,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
JI604,JI604,17:17,-25.476443,-49.292341,050,1,4,3,ATRASADO,REALIZANDO ROTA,IDA,1
KB603,KB603,17:17,-25.451298,-49.215025,050,1,4,1,ADIANTADO,REALIZANDO ROTA,IDA,1
EI600,EI600,17:17,-25.475346,-49.289576,050,1,4,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
KB604,KB604,17:17,-25.483336,-49.238711,REC,1,4,,,,,1
EA011,EA011,17:17,-25.4684,-49.255413,513,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
EI018,EI018,17:17,-25.514975,-49.23348,513,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EA027,EA027,17:17,-25.468426,-49.25527,REC,1,1,,,,,1
GI055,GI055,17:17,-25.523376,-49.243348,531,1,1,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
JI857,JI857,17:16,-25.443141,-49.270331,762,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
PI301,PI301,17:17,-25.496078,-49.282641,629,1,3,1,ATRASADO,TIPO INCOMPATIVEL,VOLTA,1
PI303,PI303,17:14,-25.510545,-49.26148,629,1,3,2,NO HORÁRIO,TIPO INCOMPATIVEL,IDA,1
BI301,BI301,17:17,-25.428523,-49.27082,205,1,3,3,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BC304,BC304,17:14,-25.392116,-49.260916,205,1,3,2,NÃO CONFORMIDADE,INDETERMINADA,IDA,1
BC306,BC306,17:17,-25.41781,-49.265166,205,1,3,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI949,JI949,17:17,-25.462375,-49.347816,861,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HA312,HA312,17:14,-25.447488,-49.24999,216,1,3,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HA311,HA311,17:17,-25.406973,-49.252396,216,1,3,2,ADIANTADO,REALIZANDO ROTA,VOLTA,1
PI300,PI300,17:15,-25.43807,-49.237456,216,1,3,3,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI608,BI608,17:17,-25.455193,-49.26724,216,1,4,1,ATRASADO,TIPO INCOMPATIVEL,IDA,1
GC949,GC949,17:17,-25.426865,-49.264095,466,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI854,BI854,17:14,-25.45303,-49.271245,160,1,7,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
